Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Soccer A.PrjPCB|ReportField=ProjectFullPath~C:\Users\Ivan\Dropbox\Emerotecos\2013\Soccer - Holanda\Eletrônica\Soccer A.PrjPCB|ReportField=Title~Bill of Materials For PCB Document [Main.PcbDoc]|ReportField=TotalQuantity~232|ReportField=ReportTime~19:52:05|ReportField=ReportDate~30/04/2013|ReportField=ReportDateTime~30/04/2013 19:52:05|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=DataSourceFileName~Main.PcbDoc|ReportField=DataSourceFullPath~C:\Users\Ivan\Dropbox\Emerotecos\2013\Soccer - Holanda\Eletrônica\Main.PcbDoc
1K||R15, R19_1, R19_2, R23_1, R23_2, R27_1, R27_2, R31, R32_1, R32_2, R35_1, R35_2, R36_1, R36_2, R39_1, R39_2, R42_1, R42_2|RES1206|RES|18
10R||R22|RES1206|RES|1
47K||R26_1, R26_2, R29_1, R29_2, R38_1, R38_2, R41_1, R41_2|RES1206|RES|8
PUSH BUTTON||SW1, SW2|PUSH-BUTTON 5,2X1,6MM|PUSH BUTTON|2
Test Point|Test Point for Osciloscope measurements|TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16|TP1|Test Point|16
MPU-9150|InveSense MPU-9150 IMU 9 axles|U1|LGA-24|MPU-9150|1
LM555CM|Timer, 8-pin Narrow SOIC|U2|M08A_N|LM555CM|1
LM358D|Dual Low-Power Operational Amplifier|U3|751-02_N|LM358D|1
ATmega328-AU|8-bit AVR Microcontroller, 32KB Flash, 1KB EEPROM, 2KB SRAM, 32-pin TQFP, Industrial Grade (-40°C to 85°C)|U4|32A_N|ATmega328-AU|1
LM1117IMPX-5.0/NOPB|800mA Low-Dropout Linear Regulator, 4-pin SOT-223, Pb-Free|U5, U9|MP04A_N|LM1117IMPX-5.0/NOPB|2
LM1117IMPX-3.3/NOPB|800mA Low-Dropout Linear Regulator, 4-pin SOT-223, Pb-Free|U6|MP04A_N|LM1117IMPX-3.3/NOPB|1
4067|MUX-74HC4067|U7|SSOP-24|MUX-74HC4067|1
LM224D|Low-Power Quad Operational Amplifier|U8_1, U8_2|SO14_N|LM224D|2
xBee||xBee|xBee|xBee|1
16Mhz|2 pin oscilator|Y1|OSC-2-PIN-TH|OSC-2-PIN|1
